country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
BE,Belgium,C,Manufacturing,2021,10.42,,5.11,,2.69,,3.79,,3.98,,1.22,,0.81,,4.29,,64282.630000000005,444390.0,4,4,144.65363757060243,0,No,Yes,Yes
BE,Belgium,C,Manufacturing,2023,15.31,,6.89,,3.82,,6.92,,5.24,,2.28,,1.44,,5.31,,73000.62,455708.0,4,4,160.19165781596988,0,No,Yes,Yes
BE,Belgium,C,Manufacturing,2024,23.24,,13.31,,9.85,,9.46,,7.02,,3.51,,6.22,,8.24,,73463.07,445163.0,4,4,165.02510316445887,0,No,Yes,Yes
BE,Belgium,F,Construction,2021,8.3,,3.19,,1.54,,2.45,,0.93,,0.22,,0.5,,2.1,,12345.33,154483.0,4,4,79.91384165247956,0,No,Yes,Yes
BE,Belgium,F,Construction,2023,5.17,,1.65,,1.17,,0.35,,0.36,,0.33,,0.18,,2.41,,14638.81,162703.0,4,4,89.97258808995532,0,No,Yes,Yes
BE,Belgium,F,Construction,2024,11.08,,7.08,,2.02,,3.33,,0.95,,0.08,,1.69,,1.69,,15925.33,161999.0,4,4,98.30511299452466,0,No,Yes,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,8.08,,4.29,,1.43,,2.18,,1.83,,1.33,,1.38,,2.6,,43683.17,417546.0,4,4,104.61882044134059,0,No,Yes,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,10.25,,4.73,,2.4,,2.87,,1.89,,0.94,,2.65,,2.21,,42554.65,412063.0,4,4,103.27219381502343,0,No,Yes,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,22.48,,14.84,,9.13,,10.27,,5.13,,3.65,,8.21,,7.84,,42709.95,415247.0,4,4,102.8543252570157,0,No,Yes,Yes
BE,Belgium,H,Transportation and storage,2021,5.69,,1.8,,1.53,,1.66,,1.04,,1.35,,0.84,,4.03,,15616.75,186150.0,4,4,83.89336556540424,0,No,Yes,Yes
BE,Belgium,H,Transportation and storage,2023,14.94,,7.49,,2.95,,5.88,,1.25,,6.44,,0.92,,4.84,,19579.309999999998,197912.0,4,4,98.9293726504709,0,No,Yes,Yes
BE,Belgium,H,Transportation and storage,2024,23.03,,18.31,,12.64,,12.4,,3.76,,8.26,,2.67,,9.56,,19721.91,198623.0,4,4,99.29318356887168,0,No,Yes,Yes
BE,Belgium,I,Accommodation and food service activities,2021,1.43,,0.57,,0.28,,0.28,,0.0,,0.0,,0.0,,1.15,,2084.81,61701.0,4,4,33.78891752159608,0,No,Yes,Yes
BE,Belgium,I,Accommodation and food service activities,2023,7.98,,0.33,,0.1,,0.24,,0.2,,0.2,,0.1,,0.0,,4190.75,82566.0,4,4,50.75636460528547,0,No,Yes,Yes
BE,Belgium,I,Accommodation and food service activities,2024,15.66,,6.88,,2.81,,2.0,,0.22,,0.14,,1.67,,0.68,,4497.11,85157.0,4,4,52.809633970196224,0,No,Yes,Yes
BE,Belgium,J,Information and communication,2021,34.76,,26.0,,11.26,,11.72,,7.67,,1.97,,6.39,,7.82,,15777.65,101252.0,4,4,155.82556393947775,0,No,Yes,No
BE,Belgium,J,Information and communication,2023,,,,,22.0,,23.34,,6.43,,1.69,,9.4,,16.45,,17567.870000000003,107469.0,4,4,163.4691864630731,2,No,No,No
BE,Belgium,J,Information and communication,2024,64.12,,51.75,,38.52,,32.75,,23.21,,4.58,,22.27,,20.53,,17884.75,106126.0,4,4,168.52373593652828,0,No,Yes,No
