country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021,value_added_real_2021_meur_ge10,labour_productivity_real_2021_keur,real_productivity_available
BE,Belgium,C,Manufacturing,2021,10.42,,5.11,,2.69,,3.79,,3.98,,1.22,,0.81,,4.29,,64282.630000000005,444390.0,4,4,144.65363757060243,0,No,Yes,Yes,54373.8,,52876.7,,1.0283130376895684,1.0283130376895684,1.0,64282.630000000005,144.65363757060243,Yes
BE,Belgium,C,Manufacturing,2023,15.31,,6.89,,3.82,,6.92,,5.24,,2.28,,1.44,,5.31,,73000.62,455708.0,4,4,160.19165781596988,0,No,Yes,Yes,72062.6,,60328.2,,1.1945093670953222,1.0283130376895684,1.1616203658947732,62843.7845472596,137.90362369600624,Yes
BE,Belgium,C,Manufacturing,2024,23.24,,13.31,,9.85,,9.46,,7.02,,3.51,,6.22,,8.24,,73463.07,445163.0,4,4,165.02510316445887,0,No,Yes,Yes,70943.6,p,59064.7,p,1.2011167414716406,1.0283130376895684,1.1680458162529288,62893.99694582897,141.2830737186805,Yes
BE,Belgium,F,Construction,2021,8.3,,3.19,,1.54,,2.45,,0.93,,0.22,,0.5,,2.1,,12345.33,154483.0,4,4,79.91384165247956,0,No,Yes,Yes,24533.6,,23705.3,,1.0349415531547796,1.0349415531547796,1.0,12345.33,79.91384165247956,Yes
BE,Belgium,F,Construction,2023,5.17,,1.65,,1.17,,0.35,,0.36,,0.33,,0.18,,2.41,,14638.81,162703.0,4,4,89.97258808995532,0,No,Yes,Yes,29771.7,,24014.1,,1.2397591415043663,1.0349415531547796,1.1979025653431807,12220.367852544172,75.10843593876064,Yes
BE,Belgium,F,Construction,2024,11.08,,7.08,,2.02,,3.33,,0.95,,0.08,,1.69,,1.69,,15925.33,161999.0,4,4,98.30511299452466,0,No,Yes,Yes,30118.5,p,24338.1,p,1.2375041601439718,1.0349415531547796,1.195723716350674,13318.569985885873,82.21390246782927,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,8.08,,4.29,,1.43,,2.18,,1.83,,1.33,,1.38,,2.6,,43683.17,417546.0,4,4,104.6188204413406,0,No,Yes,Yes,55037.5,,54118.2,,1.0169868916556724,1.0169868916556724,1.0,43683.17,104.6188204413406,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,10.25,,4.73,,2.4,,2.87,,1.89,,0.94,,2.65,,2.21,,42554.65,412063.0,4,4,103.27219381502344,0,No,Yes,Yes,61154.6,,52937.1,,1.1552313972620336,1.0169868916556724,1.1359353859333396,37462.210022654624,90.91379236343623,Yes
BE,Belgium,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,22.48,,14.84,,9.13,,10.27,,5.13,,3.65,,8.21,,7.84,,42709.95,415247.0,4,4,102.8543252570157,0,No,Yes,Yes,62416.2,p,52940.6,p,1.1789855045088269,1.0169868916556724,1.159292724598857,36841.38534965676,88.72161713307203,Yes
BE,Belgium,H,Transportation and storage,2021,5.69,,1.8,,1.53,,1.66,,1.04,,1.35,,0.84,,4.03,,15616.75,186150.0,4,4,83.89336556540424,0,No,Yes,Yes,24749.1,,23501.0,,1.053108378366878,1.053108378366878,1.0,15616.75,83.89336556540424,Yes
