year,variable,indicador,n,pearson_r,p_value
2021,ai_any_pct,Adopción general,209,0.5886993155002447,6.966598678998233e-21
2021,ai_ge2_pct,Dos o más tecnologías,207,0.5186094325129232,1.2005792463047113e-15
2021,ai_ge3_pct,Tres o más tecnologías,204,0.4710776734236246,1.1540941668299825e-12
2021,ai_workflow_pct,Procesos y decisiones,208,0.5182983968994755,1.072300170432545e-15
2021,ai_production_pct,Producción,202,0.5422851780858952,7.719746018213413e-17
2021,ai_logistics_pct,Logística,197,0.4274033174336774,3.75603120154835e-10
2021,ai_marketing_pct,Marketing y ventas,205,0.3883659432734902,8.714890348950433e-09
2021,ai_security_pct,Seguridad informática,198,0.4393184166925003,9.491044206172914e-11
2023,ai_any_pct,Adopción general,209,0.5756504455675239,7.68563596930554e-20
2023,ai_ge2_pct,Dos o más tecnologías,209,0.5092036802821973,3.4632071266530934e-15
2023,ai_ge3_pct,Tres o más tecnologías,203,0.4669981395883606,2.1653768891895883e-12
2023,ai_workflow_pct,Procesos y decisiones,207,0.5605530708487705,1.5900528674368257e-18
2023,ai_production_pct,Producción,198,0.5663045854348162,3.4646688165486276e-18
2023,ai_logistics_pct,Logística,196,0.41239515781551794,1.9010051154931796e-09
2023,ai_marketing_pct,Marketing y ventas,199,0.41742900123680493,8.580670779452251e-10
2023,ai_security_pct,Seguridad informática,196,0.44518425788885774,6.242752213161438e-11
2024,ai_any_pct,Adopción general,209,0.5930171914990137,3.072931778191365e-21
2024,ai_ge2_pct,Dos o más tecnologías,209,0.5348371074236294,7.323833050096193e-17
2024,ai_ge3_pct,Tres o más tecnologías,208,0.5151132508885198,1.7130583132216091e-15
2024,ai_workflow_pct,Procesos y decisiones,209,0.5432620731966483,1.9170824479204345e-17
2024,ai_production_pct,Producción,197,0.5140374146391534,1.1130871097015479e-14
2024,ai_logistics_pct,Logística,197,0.41432046362721997,1.4263882991084556e-09
2024,ai_marketing_pct,Marketing y ventas,199,0.4785068113967278,8.786024644061439e-13
2024,ai_security_pct,Seguridad informática,198,0.4485276421936563,3.430098054904718e-11
