variable,count,mean,std,min,p25,median,p75,max
labour_productivity_keur,627.0,67.47141676746836,73.75027624524007,10.136720354233402,34.956258579777,50.043236052215846,76.35275009015824,857.2263356861066
log_productivity,627.0,3.967035021080945,0.6372144545369353,2.3161645093800485,3.554097444783495,3.9128873528166106,4.335362163920716,6.753701986046413
ai_any_pct,627.0,12.117097288676236,11.8258048728144,0.0,4.27,8.26,16.1,68.3
ai_ge2_pct,625.0,6.943728,8.762961280678276,0.0,1.7,3.68,8.05,56.75
ai_ge3_pct,615.0,3.969024390243902,5.869390178389863,0.0,0.69,1.78,4.38,41.4
ai_workflow_pct,624.0,4.662708333333333,5.665043485559946,0.0,1.17,2.58,5.74,41.19
ai_production_pct,597.0,2.7321440536013397,3.6679039274256464,0.0,0.42,1.44,3.36,27.83
ai_logistics_pct,590.0,0.9888474576271186,1.2307301905042602,0.0,0.15,0.62,1.3975,8.99
ai_marketing_pct,603.0,3.857446102819237,4.877611587209287,0.0,0.87,2.23,4.595000000000001,28.62
ai_security_pct,592.0,3.5389358108108113,4.3191074369260996,0.0,0.8075000000000001,2.1900000000000004,4.609999999999999,40.19
