specification,ai_variable,indicator,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_including_fe
M1_pooled_FE,ai_any_pct,Adopción general,0.003870434907202182,0.0020242356303270125,1.912047614030447,0.057244215875903344,-0.00012021337143605648,0.00786108318584042,3.9463119980198247,627,209,0.8600807002987634
M1_pooled_FE,ai_ge2_pct,Dos o más tecnologías,0.0013181329875236632,0.0022878551629903496,0.5761435465175132,0.5651410382741306,-0.0031922239744699866,0.005828489949517313,1.3268586568798924,625,209,0.8580304854689738
M1_pooled_FE,ai_ge3_pct,Tres o más tecnologías,-0.0006625783941014919,0.003354260586371169,-0.19753336899155682,0.8436040049866518,-0.007275470911951538,0.005950314123748555,-0.6603881834171599,615,208,0.857573490568308
M1_pooled_FE,ai_workflow_pct,Procesos y decisiones,0.011692606756417215,0.005072612461134728,2.305046333817824,0.022150293523630196,0.0016922827412945533,0.021692930771539876,12.40363238750839,624,209,0.8621337433897167
M1_pooled_FE,ai_production_pct,Producción,0.0037708914050788495,0.00561008714418874,0.6721627147957875,0.502229657989984,-0.007289341497227696,0.014831124307385394,3.842891681371352,597,208,0.8550590415850551
M1_pooled_FE,ai_logistics_pct,Logística,0.038041297894547216,0.0192384837005833,1.9773542700453999,0.04932871236680964,0.00011281212475094948,0.07596978366434348,46.288860689661185,590,208,0.8562279374905046
M1_pooled_FE,ai_marketing_pct,Marketing y ventas,-0.0011179200133255769,0.003827670363862906,-0.29206277109959017,0.7705311345385685,-0.008664135358916634,0.006428295332265481,-1.111694507864247,603,208,0.8562194654067523
M1_pooled_FE,ai_security_pct,Seguridad informática,0.006257447180289019,0.006153990122079529,1.0168113786595632,0.31044757312400906,-0.005876134457746124,0.018391028818324162,6.457373669132438,592,205,0.8564675244945492
M2_entity_year_FE,ai_any_pct,Adopción general,-0.0016542754176757802,0.0012652905440343372,-1.307427314204987,0.19251097242704268,-0.004148713049283004,0.0008401622139314433,-1.6406674231212892,627,209,0.9847334768746018
M2_entity_year_FE,ai_ge2_pct,Dos o más tecnologías,-0.0023504375861019893,0.001392493366994845,-1.6879344934866687,0.09292260527767371,-0.0050956472715551725,0.00039477209935119334,-2.3230299548965494,625,209,0.984746261405464
M2_entity_year_FE,ai_ge3_pct,Tres o más tecnologías,-0.0037119916835120564,0.002083107455478038,-1.7819492094613127,0.07622343529272436,-0.007818818017214216,0.0003948346501901033,-3.6439418714601546,615,208,0.9846611603116496
M2_entity_year_FE,ai_workflow_pct,Procesos y decisiones,0.0007269702817008644,0.0022993001651220343,0.3161702385483371,0.7521903445485082,-0.0038059497541620265,0.005259890317563755,0.7296191255319773,624,209,0.9847066452469697
M2_entity_year_FE,ai_production_pct,Producción,-0.004215861475125473,0.002708021711197114,-1.5568049021519108,0.12104436864260014,-0.009554700259718718,0.0011229773094677707,-4.1282298257954935,597,208,0.9850263771922915
M2_entity_year_FE,ai_logistics_pct,Logística,0.00541034983956345,0.01085408827094037,0.49846193475766815,0.6186877158261271,-0.0159883808990754,0.026809080578202305,5.559384877134721,590,208,0.9850341387758548
M2_entity_year_FE,ai_marketing_pct,Marketing y ventas,-0.004477025410326645,0.002394306968046059,-1.8698627494620068,0.06291467662270545,-0.009197378593010456,0.00024332777235716585,-4.378285643593682,603,208,0.9851439039309016
M2_entity_year_FE,ai_security_pct,Seguridad informática,-0.0020046132355003438,0.003142781703194273,-0.6378467945969288,0.5242887154805935,-0.00820111300390508,0.004191886532904394,-1.9846544523405063,592,205,0.9848566397767049
M3_entity_countryyear_FE,ai_any_pct,Adopción general,-0.001070627888455291,0.0012645483611330437,-0.8466484330389716,0.3981641434344418,-0.003563602354967944,0.0014223465780573614,-1.0649170667977104,627,209,0.9893167797739608
M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,-0.0015338711811338718,0.0013432068389636872,-1.141947119862259,0.254788882534748,-0.004181915697028301,0.001114173334760557,-1.5221672943927178,625,209,0.9891993952416317
M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,-0.0019130079075202172,0.0019179305737111584,-0.9974333449508467,0.31971874239185377,-0.005694189605860368,0.0018681737908199335,-1.8948260360546976,615,208,0.989127969252372
M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,-0.00029351401303956415,0.0022631033385876824,-0.12969536478291582,0.8969327835197992,-0.004755074370544189,0.0041680463444650605,-0.2930836817907734,624,209,0.9892615645085938
M3_entity_countryyear_FE,ai_production_pct,Producción,-0.00110995035435251,0.0024469538534717655,-0.45360493937296775,0.6505883739216887,-0.005934096365814842,0.0037141956571098214,-1.103813133097109,597,208,0.9894073513595081
M3_entity_countryyear_FE,ai_logistics_pct,Logística,0.0010139570428044573,0.011415327772997308,0.08882417246072855,0.9293075234767745,-0.021491251981676056,0.02351916606728497,1.0191150056632514,590,208,0.9892188769377382
M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,-0.0037800025935732385,0.002962177996715007,-1.2760889446093995,0.20335403162103424,-0.0096199080530977,0.002059902865951222,-3.709452223873888,603,208,0.9895419831919857
M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,-0.0012039346375675997,0.0032750177958392906,-0.3676116322473499,0.7135439451650486,-0.007661159138019992,0.005253289862884793,-1.196716341405324,592,205,0.989361563873893
