scenario,scenario_label,specification,ai_variable,indicator,weighted,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_absorbing_ls
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_any_pct,Adopción general,False,-0.0010706278884205311,0.0009285608838854805,-1.1529969730585505,0.24972877636977198,-0.002897133411060691,0.0007558776342196289,-1.0649170667633157,627,209,0.9893167797739608
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,False,-0.0015338711811145784,0.0009849660797859939,-1.5572832532952268,0.12034743121044778,-0.003471369008175961,0.0004036266459468043,-1.5221672943737108,625,209,0.9891993952416317
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,False,-0.001913007907571231,0.0013986577144280037,-1.367745580521519,0.1723338406174637,-0.004664541803923524,0.0008385259887810613,-1.8948260361047353,615,208,0.989127969252372
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,False,-0.000293514013142177,0.0016583737941911882,-0.1769890564903239,0.8596242625384993,-0.0035556877752112516,0.0029686597489268977,-0.29308368189309153,624,209,0.9892615645085938
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_production_pct,Producción,False,-0.0011099503543220543,0.0017605268566036705,-0.6304648805320248,0.5288579671259441,-0.004574132016081329,0.00235423130743722,-1.1038131330669887,597,208,0.9894073513595081
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_logistics_pct,Logística,False,0.0010139570428003893,0.008167383922160125,0.12414710174812207,0.9012816682101015,-0.015058446099618634,0.01708636018521941,1.0191150056591436,590,208,0.9892188769377382
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,False,-0.0037800025935809845,0.0021411088159723627,-1.7654416092179486,0.07846146550663291,-0.007992736315797907,0.0004327311286359387,-3.7094522238813377,603,208,0.9895419831919857
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,False,-0.0012039346375383286,0.0023585678354456187,-0.5104515627852874,0.6101031633908454,-0.005844998801119985,0.0034371295260433275,-1.1967163413764026,592,205,0.989361563873893
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_any_pct,Adopción general,False,-0.0012631164487059332,0.0008843686652848445,-1.4282691125189273,0.154098567366586,-0.0030024105009856888,0.00047617760357382237,-1.255172614691813,667,233,0.9897682881552748
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,False,-0.0016503338468568962,0.000950278093126311,-1.7366851438482376,0.0833251299634643,-0.003519326124869112,0.00021865843115531983,-1.6367904439643532,662,232,0.9895730042277358
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,False,-0.0020266546188844286,0.0013011290919785192,-1.5576122549090519,0.12025549390965762,-0.004585930958432882,0.000532621720664025,-2.006256009699414,653,232,0.9895761414060046
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,False,-0.0006957618959266058,0.0015778021137782426,-0.440969047924849,0.6595084431862075,-0.0037989587266367923,0.0024074349347835804,-0.6933470765574823,662,232,0.9896812034960567
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_production_pct,Producción,False,-0.0014208744883115552,0.0016334184134868708,-0.8698778442679629,0.3850171598349117,-0.004634431994900709,0.0017926830182775988,-1.4108277070933317,631,229,0.9896597030737317
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_logistics_pct,Logística,False,-0.001089023752178698,0.0077184135077516145,-0.14109424833030645,0.8878856738227028,-0.016275183955998456,0.014097136451641061,-1.0831153559111795,627,231,0.9895899528395806
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,False,-0.0038353574444383778,0.0019846391398608246,-1.9325213170528004,0.05415594114526234,-0.007739584863028557,6.886997415180224e-05,-3.762738963234369,640,231,0.9900176409281983
core_unbalanced_unweighted,"Muestra central completa, sin ponderar",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,False,-0.001864647261095445,0.0022708648677980748,-0.8211176664613623,0.41219245904403023,-0.00633241126482068,0.002603116742629789,-1.8473702657158197,626,226,0.9896997612477322
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_any_pct,Adopción general,True,-0.001567371290962909,0.0007534605362993386,-2.080230105562179,0.038259648229944876,-0.003049449477245722,-8.529310468009593e-05,-1.5551519512497336,627,209,0.9909048106101254
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,True,-0.001678833424689875,0.0009289737114572841,-1.8071915318855296,0.07162942397411087,-0.003506190309646463,0.000148523460266713,-1.6648195491527518,625,209,0.990786295093139
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,True,-0.0012054717310132114,0.001303099930314809,-0.9250800364343416,0.3556085390963757,-0.003769017902180505,0.0013580744401540824,-1.1982350285306365,615,208,0.9907665253847818
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,True,-0.0003354549572331417,0.0021079836119072184,-0.1591354673434276,0.8736583279815671,-0.004482052578180923,0.0038111426637146397,-0.33489293571014045,624,209,0.9907718392108583
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_production_pct,Producción,True,0.00018715734928377285,0.001901224792563792,0.09844041063202849,0.9216466211477765,-0.0035538750789220353,0.003928189777489581,0.18733259796392954,597,208,0.9921463152025534
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_logistics_pct,Logística,True,0.010673671918343267,0.008197855897815083,1.3020077507324868,0.19390920958549596,-0.0054586963098290555,0.026806040146515588,11.264127880914977,590,208,0.9913245011216926
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,True,-0.003732184114122932,0.0021650580324841504,-1.7238263631394157,0.08572347852112339,-0.007992039062158573,0.0005276708339127098,-3.6633965373860766,603,208,0.9925046404996244
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,True,-0.0001856594502393538,0.003151607300833099,-0.05890944921668267,0.9530626834769316,-0.00638722443461695,0.006015905534138242,-0.18548720969214783,592,205,0.9925166054718059
