country_code,sector_code,year,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021
AT,C,2021,68975.9,,69818.1,,0.9879372254472693,0.9879372254472693,1.0
AT,C,2023,76173.9,,73144.4,,1.0414180716500512,0.9879372254472693,1.054133850638708
AT,C,2024,74774.0,,69025.4,,1.0832823859043195,0.9879372254472693,1.096509330756197
AT,F,2021,24531.2,,22582.3,,1.0863021038601028,1.0863021038601028,1.0
AT,F,2023,28395.0,,20058.4,,1.4156164001116738,1.0863021038601028,1.3031516693941532
AT,F,2024,28435.6,,19220.3,,1.4794566161818494,1.0863021038601028,1.3619200505317057
AT,G,2021,45801.0,,43579.6,,1.050973391219745,1.050973391219745,1.0
AT,G,2023,48312.8,,40554.5,,1.1913055271301582,1.050973391219745,1.133525869525151
AT,G,2024,47559.3,,39318.4,,1.2095939814438024,1.050973391219745,1.1509273132405042
AT,H,2021,17736.8,,17620.5,,1.006600266734769,1.006600266734769,1.0
AT,H,2023,22831.6,,21055.6,,1.0843481069169247,1.006600266734769,1.077238048460245
AT,H,2024,23971.1,,20741.6,,1.155701585220041,1.006600266734769,1.1481236628010538
AT,I,2021,8328.4,,7478.4,,1.113660676080445,1.113660676080445,1.0
AT,I,2023,17696.2,,14345.3,,1.2335887015259355,1.113660676080445,1.107688120826516
AT,I,2024,19115.7,,14298.0,,1.336949223667646,1.113660676080445,1.2004996246909518
AT,J,2021,15276.3,,15222.2,,1.0035540197868902,1.0035540197868902,1.0
AT,J,2023,16885.9,,16708.9,,1.0105931569403133,1.0035540197868902,1.0070142085175622
AT,J,2024,17436.3,,16995.7,,1.0259242043575727,1.0035540197868902,1.0222909620504863
AT,L,2021,35461.4,,35377.2,,1.00238006399602,1.00238006399602,1.0
AT,L,2023,40253.1,,36761.9,,1.0949678879492082,1.00238006399602,1.0923679822442636
AT,L,2024,43713.2,,37155.8,,1.1764838867686873,1.00238006399602,1.1736904284374898
AT,M,2021,20966.3,,20768.2,,1.0095386215464026,1.0095386215464026,1.0
AT,M,2023,23957.9,,22536.2,,1.0630851696381822,1.0095386215464026,1.0530406137506234
AT,M,2024,25067.5,,22274.2,,1.125405177290318,1.0095386215464026,1.1147717910647459
AT,N,2021,15829.0,,15663.2,,1.0105853210072016,1.0105853210072016,1.0
AT,N,2023,18693.3,,16829.4,,1.1107526115013011,1.0105853210072016,1.0991180936551381
AT,N,2024,19216.0,,16341.0,,1.175937825102503,1.0105853210072016,1.1636205282800889
BE,C,2021,54373.8,,52876.7,,1.0283130376895684,1.0283130376895684,1.0
BE,C,2023,72062.6,,60328.2,,1.1945093670953222,1.0283130376895684,1.1616203658947732
BE,C,2024,70943.6,p,59064.7,p,1.2011167414716406,1.0283130376895684,1.1680458162529288
BE,F,2021,24533.6,,23705.3,,1.0349415531547796,1.0349415531547796,1.0
BE,F,2023,29771.7,,24014.1,,1.2397591415043663,1.0349415531547796,1.1979025653431807
BE,F,2024,30118.5,p,24338.1,p,1.2375041601439718,1.0349415531547796,1.195723716350674
BE,G,2021,55037.5,,54118.2,,1.0169868916556724,1.0169868916556724,1.0
BE,G,2023,61154.6,,52937.1,,1.1552313972620336,1.0169868916556724,1.1359353859333396
BE,G,2024,62416.2,p,52940.6,p,1.1789855045088269,1.0169868916556724,1.159292724598857
BE,H,2021,24749.1,,23501.0,,1.053108378366878,1.053108378366878,1.0
BE,H,2023,30526.3,,24812.2,,1.2302939682897929,1.053108378366878,1.168250099954278
BE,H,2024,31052.6,p,24273.9,p,1.2792587923654624,1.053108378366878,1.2147456222400301
BE,I,2021,6483.5,,6365.8,,1.018489427880235,1.018489427880235,1.0
BE,I,2023,10683.2,,9569.6,,1.1163685002507941,1.018489427880235,1.0961021977167433
BE,I,2024,11135.4,p,9606.7,p,1.159128524883675,1.018489427880235,1.1380859664848457
BE,J,2021,20397.8,,20454.5,,0.9972279938399863,0.9972279938399863,1.0
BE,J,2023,23536.6,,22708.1,,1.0364847785591926,0.9972279938399863,1.0393659072566162
BE,J,2024,24579.0,p,23462.7,p,1.0475776445166156,0.9972279938399863,1.0504896081815251
BE,L,2021,43691.5,,43134.7,,1.0129084008930167,1.0129084008930167,1.0
BE,L,2023,55667.1,,46155.1,,1.2060877346165428,1.0129084008930167,1.1907174760849177
BE,L,2024,56274.2,p,46288.9,p,1.2157169429388037,1.0129084008930167,1.2002239707627893
BE,M,2021,47906.3,,47763.5,,1.002989730652067,1.002989730652067,1.0
BE,M,2023,57302.4,,52022.6,,1.101490506049294,1.002989730652067,1.0982071624334473
BE,M,2024,60519.6,p,54147.9,p,1.117672153490717,1.002989730652067,1.1143405753158533
BE,N,2021,23681.3,,23375.6,,1.0130777391810264,1.0130777391810264,1.0
BE,N,2023,26688.9,,23666.6,,1.1277031766286667,1.0130777391810264,1.1131457468804948
BE,N,2024,28398.7,p,24260.8,p,1.1705590912088637,1.0130777391810264,1.1554484379008718
BG,C,2021,8003.6,,8058.6,,0.9931749931749931,0.9931749931749931,1.0
BG,C,2023,12714.0,,10891.1,,1.1673751962611674,0.9931749931749931,1.1753972907929235
BG,C,2024,13092.1,,10557.7,,1.2400522841149113,0.9931749931749931,1.2485738088820562
BG,F,2021,2477.1,,2293.0,,1.0802878325337986,1.0802878325337986,1.0
BG,F,2023,3666.7,,2506.3,,1.462993256992379,1.0802878325337986,1.3542624594418977
BG,F,2024,4376.1,,2782.0,,1.573005032350827,1.0802878325337986,1.4560980740302958
BG,G,2021,9985.4,,8572.6,,1.1648041434337306,1.1648041434337306,1.0
BG,G,2023,12932.7,,8884.5,,1.455647475941246,1.1648041434337306,1.249692906869422
BG,G,2024,14670.3,,9879.5,,1.484923326079255,1.1648041434337306,1.2748266173760712
BG,H,2021,3035.4,,3071.3,,0.9883111386058021,0.9883111386058021,1.0
BG,H,2023,3910.2,,3393.4,,1.1522956326987681,0.9883111386058021,1.165923956219189
BG,H,2024,4376.2,,3619.5,,1.209062025141594,0.9883111386058021,1.2233617308484475
BG,I,2021,1420.5,,1409.1,,1.0080902703853525,1.0080902703853525,1.0
BG,I,2023,2361.5,,1662.2,,1.4207074960895199,1.0080902703853525,1.4093058308621909
BG,I,2024,2741.5,,1756.1,,1.5611297762086442,1.0080902703853525,1.548601173991975
BG,J,2021,4867.4,,4833.0,,1.007117732257397,1.007117732257397,1.0
BG,J,2023,6846.6,,5140.5,,1.3318937846512986,1.007117732257397,1.3224807209639082
BG,J,2024,7736.9,,5224.7,,1.4808314352977203,1.007117732257397,1.4703657654587425
BG,L,2021,5619.9,,5582.3,,1.006735574942228,1.006735574942228,1.0
BG,L,2023,7177.3,,6257.2,,1.1470466023141341,1.006735574942228,1.1393722749689839
BG,L,2024,7327.5,,6092.7,,1.202668767541484,1.006735574942228,1.194622299515441
BG,M,2021,2752.7,,2717.5,,1.012953081876725,1.012953081876725,1.0
BG,M,2023,3577.0,,2839.0,,1.259950686861571,1.012953081876725,1.2438391366826458
BG,M,2024,4010.0,,2943.9,,1.3621386596012093,1.012953081876725,1.3447203863357018
BG,N,2021,1566.3,,1546.6,,1.0127376180007759,1.0127376180007759,1.0
BG,N,2023,2268.6,,1833.4,,1.2373731864295843,1.0127376180007759,1.2218102343944295
BG,N,2024,2640.0,,1904.2,,1.3864089906522423,1.0127376180007759,1.368971553944173
CY,C,2021,1280.9,,1242.9,,1.0305736583795961,1.0305736583795961,1.0
CY,C,2023,1506.1,,1260.1,,1.195222601380843,1.0305736583795961,1.15976436197693
CY,C,2024,1549.5,,1295.3,,1.1962479734424458,1.0305736583795961,1.1607593146940556
CY,F,2021,1261.0,,1243.3,,1.0142363066033941,1.0142363066033941,1.0
CY,F,2023,1594.9,,1320.1,,1.2081660480266647,1.0142363066033941,1.1912076506832294
CY,F,2024,1729.9,,1389.6,,1.2448906160046058,1.0142363066033941,1.2274167350345175
CY,G,2021,2949.3,,2786.3,,1.0585005204034024,1.0585005204034024,1.0
CY,G,2023,3362.1,,2545.8,,1.3206457695027103,1.0585005204034024,1.2476571754536336
CY,G,2024,3583.5,,2651.8,,1.3513462553737083,1.0585005204034024,1.2766609267784774
CY,H,2021,1196.1,,1188.1,,1.0067334399461325,1.0067334399461325,1.0
CY,H,2023,1523.9,,1367.4,,1.1144507825069474,1.0067334399461325,1.106996885458159
CY,H,2024,1548.4,,1373.9,,1.127010699468666,1.0067334399461325,1.1194727966212874
CY,I,2021,979.5,,979.0,,1.0005107252298264,1.0005107252298264,1.0
CY,I,2023,1829.0,,1629.5,,1.1224301933108316,1.0005107252298264,1.1218572325179215
CY,I,2024,2034.8,,1730.5,,1.1758451314648946,1.0005107252298264,1.1752449042410738
CY,J,2021,2026.9,,2006.0,,1.010418743768694,1.010418743768694,1.0
CY,J,2023,3053.3,,2963.7,,1.030232479670682,1.010418743768694,1.0196094302725285
CY,J,2024,3586.2,,3299.8,,1.0867931389781198,1.010418743768694,1.075586874927282
CY,L,2021,2339.6,,2290.9,,1.021258020865162,1.021258020865162,1.0
CY,L,2023,2899.4,,2639.9,,1.0982991779991667,1.021258020865162,1.0754375050770606
