specification,dependent,dependent_label,ai_variable,indicator,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_absorbing_ls
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_any_pct,Adopción general,-0.0010706278884205311,0.0009285608838854805,-1.1529969730585505,0.24972877636977198,-0.002897133411060691,0.0007558776342196289,-1.0649170667633157,627,209,0.9893167797739608
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_any_pct,Adopción general,0.0018921307330429437,0.0008997691187228356,2.1029069498725423,0.03621509466627004,0.00012225942684325908,0.0036620020392426284,1.9101449648277757,627,209,0.9900656811228491
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_ge2_pct,Dos o más tecnologías,-0.0015338711811145784,0.0009849660797859939,-1.5572832532952268,0.12034743121044778,-0.003471369008175961,0.0004036266459468043,-1.5221672943737108,625,209,0.9891993952416317
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_ge2_pct,Dos o más tecnologías,0.0016688139932383714,0.0009507235988774945,1.755309319352876,0.08012041748306187,-0.00020132645602597755,0.0035389544425027206,1.6828164773203147,625,209,0.9899649622057821
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_ge3_pct,Tres o más tecnologías,-0.001913007907571231,0.0013986577144280037,-1.367745580521519,0.1723338406174637,-0.004664541803923524,0.0008385259887810613,-1.8948260361047353,615,208,0.989127969252372
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_ge3_pct,Tres o más tecnologías,0.0021401631467953585,0.001367423644274855,1.5651061437732323,0.11852818064462345,-0.0005499249777566615,0.004830251271347378,2.163228892582203,615,208,0.9899820929121684
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_workflow_pct,Procesos y decisiones,-0.000293514013142177,0.0016583737941911882,-0.1769890564903239,0.8596242625384993,-0.0035556877752112516,0.0029686597489268977,-0.29308368189309153,624,209,0.9892615645085938
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_workflow_pct,Procesos y decisiones,0.003773255413452772,0.001722542314890299,2.190515368380413,0.02917769388301017,0.00038485627004407113,0.0071616545568614735,3.8453465650431395,624,209,0.9900727091719009
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_production_pct,Producción,-0.0011099503543220543,0.0017605268566036705,-0.6304648805320248,0.5288579671259441,-0.004574132016081329,0.00235423130743722,-1.1038131330669887,597,208,0.9894073513595081
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_production_pct,Producción,0.003955236035290059,0.0018778712660963556,2.1062338546305397,0.0359929115324491,0.00026015624780793356,0.007650315822772185,4.034497028865713,597,208,0.9902494342688261
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_logistics_pct,Logística,0.0010139570428003893,0.008167383922160125,0.12414710174812207,0.9012816682101015,-0.015058446099618634,0.01708636018521941,1.0191150056591436,590,208,0.9892188769377382
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_logistics_pct,Logística,-0.005177940151232078,0.007682155000397038,-0.6740218273341876,0.5008147164384591,-0.020295472686212457,0.009939592383748303,-5.046168954415187,590,208,0.9901291544085353
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_marketing_pct,Marketing y ventas,-0.0037800025935809845,0.0021411088159723627,-1.7654416092179486,0.07846146550663291,-0.007992736315797907,0.0004327311286359387,-3.7094522238813377,603,208,0.9895419831919857
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_marketing_pct,Marketing y ventas,-0.0008283925429960577,0.0021777091012221608,-0.38039632682397856,0.703908435764093,-0.0051131390722054925,0.003456353986213377,-0.8249708269021494,603,208,0.9902573707839774
M3_entity_countryyear_FE,log_productivity_nominal,"Nominal, miles EUR corrientes por persona",ai_security_pct,Seguridad informática,-0.0012039346375383286,0.0023585678354456187,-0.5104515627852874,0.6101031633908454,-0.005844998801119985,0.0034371295260433275,-1.1967163413764026,592,205,0.989361563873893
M3_entity_countryyear_FE,log_productivity_real_2021,"Real aproximada, precios sectoriales 2021",ai_security_pct,Seguridad informática,0.0017979080270032202,0.002628050835999737,0.6841222408543242,0.4944157408509038,-0.003373430431754634,0.006969246485761074,1.8141676918054905,592,205,0.9901866845293108
